Round,Accuracy
0,0.2351
1,0.8563
2,0.86
3,0.8586
4,0.856
5,0.8541
6,0.8548
7,0.8515
8,0.8498
9,0.8528
10,0.8431
11,0.8518
12,0.8475
13,0.8524
14,0.8442
15,0.8462
16,0.8501
17,0.8472
18,0.8483
19,0.8458
20,0.8423
21,0.8437
22,0.8457
23,0.8425
24,0.8409
25,0.8399
26,0.8389
27,0.8385
28,0.8392
29,0.8351
30,0.8442
31,0.8403
32,0.84
33,0.8409
34,0.8429
35,0.8419
36,0.8403
37,0.8392
38,0.84
39,0.8411
40,0.8417
41,0.8399
42,0.8369
43,0.8379
44,0.8397
45,0.8369
46,0.8371
47,0.8386
48,0.842
49,0.8403
50,0.838
