Round,Accuracy
0,0.0928
1,0.1026
2,0.1241
3,0.3495
4,0.3279
5,0.4198
6,0.4619
7,0.4995
8,0.4904
9,0.5186
10,0.5276
11,0.5494
12,0.4899
13,0.5232
14,0.5546
15,0.5772
16,0.5836
17,0.5943
18,0.5638
19,0.5876
20,0.5977
21,0.6172
22,0.5995
23,0.6225
24,0.6018
25,0.6091
26,0.6006
27,0.6058
28,0.6051
29,0.6052
30,0.5981
31,0.5981
32,0.6064
33,0.6178
34,0.6078
35,0.5581
36,0.5515
37,0.5802
38,0.5953
39,0.602
40,0.6011
41,0.6069
42,0.5963
43,0.6055
44,0.591
45,0.6026
46,0.5972
47,0.6044
48,0.6084
49,0.6061
50,0.6026
