Round,Accuracy
0,0.0998
1,0.0998
2,0.0998
3,0.0998
4,0.0998
5,0.0998
6,0.0998
7,0.0998
8,0.0998
9,0.0998
10,0.0998
11,0.0998
12,0.0998
13,0.0998
14,0.0998
15,0.0998
16,0.0998
17,0.0998
18,0.0998
19,0.0998
20,0.0998
21,0.0998
22,0.0998
23,0.0998
24,0.0998
25,0.0998
26,0.0998
27,0.0998
28,0.0998
29,0.0998
30,0.0998
31,0.0998
32,0.0998
33,0.0998
34,0.0998
35,0.0998
36,0.0998
37,0.0998
38,0.0998
39,0.0998
40,0.0998
41,0.0998
42,0.0998
43,0.0998
44,0.0998
45,0.0998
46,0.0998
47,0.0998
48,0.0998
49,0.0998
50,0.0998
