Round,Accuracy
0,0.1
1,0.1458
2,0.2968
3,0.4891
4,0.5554
5,0.6006
6,0.6172
7,0.6381
8,0.6411
9,0.6559
10,0.6626
11,0.6613
12,0.662
13,0.6756
14,0.6736
15,0.6806
16,0.6871
17,0.6869
18,0.6935
19,0.6967
20,0.6958
21,0.6995
22,0.6996
23,0.6989
24,0.7018
25,0.7037
26,0.7058
27,0.7025
28,0.709
29,0.709
30,0.7066
31,0.7097
32,0.7085
33,0.712
34,0.7146
35,0.7104
36,0.7075
37,0.7098
38,0.7126
39,0.7129
40,0.7138
41,0.7108
42,0.7163
43,0.7132
44,0.7149
45,0.7127
46,0.7125
47,0.7139
48,0.7132
49,0.7106
50,0.7159
