Round,Accuracy
0,0.1
1,0.3605
2,0.4212
3,0.4438
4,0.4469
5,0.4423
6,0.4373
7,0.4331
8,0.4308
9,0.4252
10,0.4241
11,0.4198
12,0.4192
13,0.418
14,0.4151
15,0.4145
16,0.413
17,0.412
18,0.4106
19,0.411
20,0.4077
21,0.4077
22,0.4054
23,0.4065
24,0.4075
25,0.4055
26,0.403
27,0.4049
28,0.405
29,0.4037
30,0.4044
31,0.4028
32,0.402
33,0.4018
34,0.4028
35,0.4003
36,0.399
37,0.4011
38,0.4019
39,0.4007
40,0.3992
41,0.3995
42,0.4
43,0.3982
44,0.3976
45,0.3973
46,0.3979
47,0.3965
48,0.396
49,0.3966
50,0.3962
