Round,Accuracy
0,0.1006
1,0.1865
2,0.3931
3,0.4335
4,0.4288
5,0.4191
6,0.412
7,0.4077
8,0.4035
9,0.4013
10,0.4004
11,0.3971
12,0.3954
13,0.3962
14,0.3947
15,0.394
16,0.3934
17,0.3946
18,0.3943
19,0.3909
20,0.3902
21,0.3891
22,0.3906
23,0.3906
24,0.3895
25,0.3881
26,0.3868
27,0.3881
28,0.3881
29,0.3869
30,0.3879
31,0.3869
32,0.3864
33,0.387
34,0.3871
35,0.3859
36,0.3861
37,0.3863
38,0.3861
39,0.3843
40,0.3846
41,0.3832
42,0.3841
43,0.384
44,0.384
45,0.3828
46,0.3837
47,0.3835
48,0.3835
49,0.384
50,0.3733
