Round,Accuracy
0,0.499
1,0.499
2,0.499
3,0.499
4,0.499
5,0.499
6,0.499
7,0.499
8,0.499
9,0.499
10,0.499
11,0.499
12,0.499
13,0.499
14,0.499
15,0.499
16,0.499
17,0.499
18,0.499
19,0.499
20,0.499
21,0.499
22,0.499
23,0.499
24,0.499
25,0.499
26,0.499
27,0.499
28,0.499
29,0.499
30,0.499
31,0.499
32,0.499
33,0.499
34,0.499
35,0.499
36,0.499
37,0.499
38,0.499
39,0.499
40,0.499
41,0.499
42,0.499
43,0.499
44,0.499
45,0.499
46,0.499
47,0.499
48,0.499
49,0.499
50,0.499
