Round,Accuracy
0,0.1449
1,0.1449
2,0.1449
3,0.1449
4,0.1449
5,0.1449
6,0.1449
7,0.1449
8,0.1449
9,0.1449
10,0.1449
11,0.1449
12,0.1449
13,0.1449
14,0.1449
15,0.1449
16,0.1449
17,0.1449
18,0.1449
19,0.1449
20,0.1449
21,0.1449
22,0.1449
23,0.1449
24,0.1449
25,0.1449
26,0.1449
27,0.1449
28,0.1449
29,0.1449
30,0.1449
31,0.1449
32,0.1449
33,0.1449
34,0.1449
35,0.1449
36,0.1449
37,0.1449
38,0.1449
39,0.1449
40,0.1449
41,0.1449
42,0.1449
43,0.1449
44,0.1449
45,0.1449
46,0.1449
47,0.1449
48,0.1449
49,0.1449
50,0.1449
