Round,Accuracy
0,0.1
1,0.7363
2,0.6959
3,0.8072
4,0.8138
5,0.8191
6,0.8199
7,0.8247
8,0.823
9,0.83
10,0.8297
11,0.8307
12,0.8331
13,0.8335
14,0.8323
15,0.833
16,0.8337
17,0.8342
18,0.836
19,0.8358
20,0.8357
21,0.8313
22,0.8344
23,0.8296
24,0.8324
25,0.8314
26,0.8311
27,0.8338
28,0.8331
29,0.8344
30,0.8342
31,0.8269
32,0.8302
33,0.8309
34,0.8273
35,0.8266
36,0.8296
37,0.8241
38,0.83
39,0.8277
40,0.8295
41,0.8267
42,0.8278
43,0.8228
44,0.8305
45,0.8208
46,0.8273
47,0.8251
48,0.8251
49,0.8225
50,0.8301
