Round,Accuracy
0,0.1
1,0.7455
2,0.766
3,0.8522
4,0.867
5,0.875
6,0.8783
7,0.882
8,0.8835
9,0.8838
10,0.8866
11,0.8894
12,0.8887
13,0.8922
14,0.8901
15,0.8904
16,0.8922
17,0.8916
18,0.8911
19,0.8934
20,0.8921
21,0.8916
22,0.8903
23,0.8937
24,0.8939
25,0.8941
26,0.8933
27,0.8951
28,0.8943
29,0.8959
30,0.8956
31,0.8941
32,0.8947
33,0.8941
34,0.8954
35,0.8968
36,0.8964
37,0.8956
38,0.896
39,0.8947
40,0.8956
41,0.8951
42,0.8959
43,0.8968
44,0.8943
45,0.8954
46,0.8955
47,0.8957
48,0.8957
49,0.8957
50,0.8958
