Round,Accuracy
0,0.1
1,0.3643
2,0.5444
3,0.6525
4,0.7175
5,0.7798
6,0.8232
7,0.8422
8,0.8463
9,0.8539
10,0.8592
11,0.8577
12,0.8644
13,0.8647
14,0.8639
15,0.8651
16,0.8638
17,0.8622
18,0.8637
19,0.8676
20,0.8682
21,0.8653
22,0.8632
23,0.8647
24,0.8665
25,0.8623
26,0.8614
27,0.8635
28,0.8669
29,0.8652
30,0.8666
31,0.8667
32,0.8652
33,0.8633
34,0.8681
35,0.864
36,0.8659
37,0.8589
38,0.8637
39,0.8619
40,0.8639
41,0.8586
42,0.8642
43,0.8616
44,0.8662
45,0.8613
46,0.8647
47,0.8626
48,0.864
49,0.8613
50,0.8661
