Round,Accuracy
0,0.1
1,0.2113
2,0.1593
3,0.2041
4,0.2861
5,0.3176
6,0.4576
7,0.3706
8,0.5518
9,0.4881
10,0.6246
11,0.5838
12,0.662
13,0.6322
14,0.6745
15,0.6375
16,0.6821
17,0.6666
18,0.6891
19,0.6695
20,0.6784
21,0.6662
22,0.6732
23,0.6663
24,0.6536
25,0.6506
26,0.6526
27,0.6469
28,0.6315
29,0.6249
30,0.6344
31,0.6134
32,0.6212
33,0.622
34,0.6338
35,0.6206
36,0.6448
37,0.6218
38,0.6379
39,0.6174
40,0.6202
41,0.5933
42,0.6362
43,0.5784
44,0.6339
45,0.5697
46,0.6243
47,0.6126
48,0.6418
49,0.6011
50,0.641
