Round,Accuracy
0,0.1
1,0.4329
2,0.7252
3,0.8256
4,0.856
5,0.8665
6,0.8756
7,0.879
8,0.8805
9,0.8809
10,0.8839
11,0.8849
12,0.8835
13,0.8855
14,0.8886
15,0.8873
16,0.8904
17,0.8877
18,0.8908
19,0.8885
20,0.8921
21,0.8899
22,0.8902
23,0.8911
24,0.8907
25,0.8923
26,0.8925
27,0.8918
28,0.8914
29,0.8911
30,0.8928
31,0.8909
32,0.8932
33,0.8917
34,0.8938
35,0.8933
36,0.893
37,0.8938
38,0.8941
39,0.8928
40,0.8931
41,0.8926
42,0.8927
43,0.8931
44,0.8925
45,0.892
46,0.893
47,0.8934
48,0.8912
49,0.8916
50,0.893
