Round,Accuracy
0,0.0978
1,0.0978
2,0.0978
3,0.0978
4,0.0978
5,0.0978
6,0.0978
7,0.0978
8,0.0978
9,0.0978
10,0.0978
11,0.0978
12,0.0978
13,0.0978
14,0.0978
15,0.0978
16,0.0978
17,0.0978
18,0.0978
19,0.0978
20,0.0978
21,0.0978
22,0.0978
23,0.0978
24,0.0978
25,0.0978
26,0.0978
27,0.0978
28,0.0978
29,0.0978
30,0.0978
31,0.0978
32,0.0978
33,0.0978
34,0.0978
35,0.0978
36,0.0978
37,0.0978
38,0.0978
39,0.0978
40,0.0978
41,0.0978
42,0.0978
43,0.0978
44,0.0978
45,0.0978
46,0.0978
47,0.0978
48,0.0978
49,0.0978
50,0.0978
