Round,Accuracy
0,0.1067
1,0.5468
2,0.8784
3,0.9543
4,0.9783
5,0.9768
6,0.9832
7,0.9814
8,0.985
9,0.9841
10,0.9866
11,0.9848
12,0.9869
13,0.9855
14,0.9882
15,0.9866
16,0.9882
17,0.9864
18,0.9887
19,0.9871
20,0.989
21,0.9874
22,0.9887
23,0.9877
24,0.9893
25,0.9888
26,0.9894
27,0.9889
28,0.9894
29,0.989
30,0.9896
31,0.9889
32,0.9896
33,0.9881
34,0.9889
35,0.9889
36,0.9898
37,0.9893
38,0.9894
39,0.9887
40,0.9892
41,0.9884
42,0.9888
43,0.9884
44,0.9887
45,0.9885
46,0.9895
47,0.9889
48,0.9894
49,0.9886
50,0.9891
