Round,Accuracy
0,0.1059
1,0.1059
2,0.1059
3,0.1059
4,0.1059
5,0.1059
6,0.1059
7,0.1059
8,0.1059
9,0.1059
10,0.1059
11,0.1059
12,0.1059
13,0.1059
14,0.1059
15,0.1059
16,0.1059
17,0.1059
18,0.1059
19,0.1059
20,0.1059
21,0.1059
22,0.1059
23,0.1059
24,0.1059
25,0.1059
26,0.1059
27,0.1059
28,0.1059
29,0.1059
30,0.1059
31,0.1059
32,0.1059
33,0.1059
34,0.1059
35,0.1059
36,0.1059
37,0.1059
38,0.1059
39,0.1059
40,0.1059
41,0.1059
42,0.1059
43,0.1059
44,0.1059
45,0.1059
46,0.1059
47,0.1059
48,0.1059
49,0.1059
50,0.1059
