Round,Accuracy
0,0.1009
1,0.1009
2,0.1009
3,0.1009
4,0.1009
5,0.1009
6,0.1009
7,0.1009
8,0.1009
9,0.1009
10,0.1009
11,0.1009
12,0.1009
13,0.1009
14,0.1009
15,0.1009
16,0.1009
17,0.1009
18,0.1009
19,0.1009
20,0.1009
21,0.1009
22,0.1009
23,0.1009
24,0.1009
25,0.1009
26,0.1009
27,0.1009
28,0.1009
29,0.1009
30,0.1009
31,0.1009
32,0.1009
33,0.1009
34,0.1009
35,0.1009
36,0.1009
37,0.1009
38,0.1009
39,0.1009
40,0.1009
41,0.1009
42,0.1009
43,0.1009
44,0.1009
45,0.1009
46,0.1009
47,0.1009
48,0.1009
49,0.1009
50,0.1009
