Round,Accuracy
0,0.0836
1,0.3479
2,0.6723
3,0.6658
4,0.6715
5,0.6845
6,0.6755
7,0.6847
8,0.684
9,0.6574
10,0.6774
11,0.696
12,0.6825
13,0.6758
14,0.6841
15,0.6804
16,0.6769
17,0.6847
18,0.6836
19,0.6806
20,0.6738
21,0.6681
22,0.6774
23,0.6809
24,0.6686
25,0.618
26,0.6784
27,0.6594
28,0.6627
29,0.6551
30,0.6721
31,0.6803
32,0.6683
33,0.6571
34,0.6671
35,0.662
36,0.6601
37,0.658
38,0.6636
39,0.6625
40,0.6462
41,0.6502
42,0.6597
43,0.6599
44,0.6352
45,0.6612
46,0.6525
47,0.6586
48,0.6613
49,0.6514
50,0.6539
