Round,Accuracy
0,0.1958
1,0.1958
2,0.1958
3,0.1958
4,0.1958
5,0.1958
6,0.1958
7,0.1958
8,0.1958
9,0.1958
10,0.1958
11,0.1958
12,0.1958
13,0.1958
14,0.1958
15,0.1958
16,0.1958
17,0.1958
18,0.1958
19,0.1958
20,0.1958
21,0.1958
22,0.1958
23,0.1958
24,0.1958
25,0.1958
26,0.1958
27,0.1958
28,0.1958
29,0.1958
30,0.1958
31,0.1958
32,0.1958
33,0.1958
34,0.1958
35,0.1958
36,0.1958
37,0.1958
38,0.1958
39,0.1958
40,0.1958
41,0.1958
42,0.1958
43,0.1958
44,0.1958
45,0.1958
46,0.1958
47,0.1958
48,0.1958
49,0.1958
50,0.1958
