Round,Accuracy
0,0.0638
1,0.0638
2,0.0638
3,0.0638
4,0.0638
5,0.0638
6,0.0638
7,0.0638
8,0.0638
9,0.0638
10,0.0638
11,0.0638
12,0.0638
13,0.0638
14,0.0638
15,0.0638
16,0.0638
17,0.0638
18,0.0638
19,0.0638
20,0.0638
21,0.0638
22,0.0638
23,0.0638
24,0.0638
25,0.0638
26,0.0638
27,0.0638
28,0.0638
29,0.0638
30,0.0638
31,0.0638
32,0.0638
33,0.0638
34,0.0638
35,0.0638
36,0.0638
37,0.0638
38,0.0638
39,0.0638
40,0.0638
41,0.0638
42,0.0638
43,0.0638
44,0.0638
45,0.0638
46,0.0638
47,0.0638
48,0.0638
49,0.0638
50,0.0638
