Round,Accuracy
0,0.2351
1,0.8521
2,0.8574
3,0.8505
4,0.8526
5,0.8526
6,0.8457
7,0.8514
8,0.8503
9,0.8517
10,0.8468
11,0.8475
12,0.8501
13,0.8495
14,0.8494
15,0.8531
16,0.8526
17,0.8509
18,0.8541
19,0.8483
20,0.8452
21,0.852
22,0.8489
23,0.8477
24,0.8494
25,0.8506
26,0.8469
27,0.8468
28,0.8512
29,0.8512
30,0.8489
31,0.8477
32,0.856
33,0.8426
34,0.854
35,0.8518
36,0.856
37,0.8528
38,0.8534
39,0.8501
40,0.8505
41,0.8558
42,0.8498
43,0.8546
44,0.8492
45,0.8489
46,0.8523
47,0.8465
48,0.8508
49,0.8505
50,0.8492
