Round,Accuracy
0,0.7649
1,0.8512
2,0.8566
3,0.8555
4,0.8564
5,0.8554
6,0.8531
7,0.8555
8,0.856
9,0.8535
10,0.8551
11,0.8551
12,0.8554
13,0.8558
14,0.8538
15,0.8558
16,0.8567
17,0.8549
18,0.8549
19,0.8558
20,0.8531
21,0.8563
22,0.8549
23,0.8548
24,0.8546
25,0.8552
26,0.8567
27,0.8551
28,0.8555
29,0.8557
30,0.8551
31,0.8561
32,0.8546
33,0.8557
34,0.8538
35,0.8558
36,0.8555
37,0.8557
38,0.8554
39,0.8551
40,0.8554
41,0.8548
42,0.8557
43,0.8555
44,0.8557
45,0.8551
46,0.8557
47,0.8548
48,0.8558
49,0.8557
50,0.8552
