Round,Accuracy
0,0.0998
1,0.4406
2,0.4995
3,0.5033
4,0.4945
5,0.4968
6,0.5069
7,0.5046
8,0.5013
9,0.5076
10,0.5114
11,0.5113
12,0.5083
13,0.5073
14,0.5166
15,0.5137
16,0.5039
17,0.5117
18,0.5129
19,0.5139
20,0.526
21,0.5131
22,0.5145
23,0.5063
24,0.5178
25,0.5126
26,0.5113
27,0.5121
28,0.5255
29,0.5096
30,0.5102
31,0.5165
32,0.5055
33,0.5184
34,0.5154
35,0.5111
36,0.5085
37,0.5142
38,0.5192
39,0.5101
40,0.5211
41,0.5154
42,0.5182
43,0.5078
44,0.5116
45,0.5165
46,0.5185
47,0.5181
48,0.5205
49,0.5093
50,0.5196
