Round,Accuracy
0,0.101
1,0.1082
2,0.109
3,0.114
4,0.1165
5,0.1237
6,0.1506
7,0.143
8,0.1409
9,0.1267
10,0.1191
11,0.1293
12,0.1227
13,0.164
14,0.1741
15,0.1885
16,0.1881
17,0.1699
18,0.1178
19,0.1246
20,0.1424
21,0.1739
22,0.1797
23,0.1723
24,0.1603
25,0.172
26,0.1725
27,0.1899
28,0.1873
29,0.1912
30,0.1871
31,0.1827
32,0.1567
33,0.1654
34,0.1792
35,0.1852
36,0.186
37,0.1817
38,0.176
39,0.1844
40,0.1888
41,0.1897
42,0.1868
43,0.1851
44,0.1822
45,0.1753
46,0.1607
47,0.1736
48,0.1595
49,0.1604
50,0.1896
