Round,Accuracy
0,0.1004
1,0.2824
2,0.4988
3,0.5319
4,0.5458
5,0.5512
6,0.5489
7,0.5499
8,0.5532
9,0.5614
10,0.5564
11,0.5575
12,0.553
13,0.5555
14,0.5559
15,0.5596
16,0.5522
17,0.5543
18,0.5538
19,0.5535
20,0.5494
21,0.5527
22,0.5465
23,0.5473
24,0.548
25,0.5531
26,0.5476
27,0.5485
28,0.5454
29,0.5516
30,0.5453
31,0.5437
32,0.5449
33,0.5441
34,0.5387
35,0.5374
36,0.5356
37,0.5358
38,0.5316
39,0.5338
40,0.5333
41,0.5385
42,0.5329
43,0.5321
44,0.5273
45,0.5346
46,0.5387
47,0.5433
48,0.5362
49,0.5386
50,0.5368
