Round,Accuracy
0,0.0997
1,0.2277
2,0.2757
3,0.2887
4,0.3004
5,0.3191
6,0.3135
7,0.3039
8,0.3137
9,0.3175
10,0.3043
11,0.29
12,0.3158
13,0.3202
14,0.3147
15,0.3037
16,0.3113
17,0.2996
18,0.3019
19,0.3027
20,0.3047
21,0.3078
22,0.3129
23,0.3032
24,0.2953
25,0.2985
26,0.2966
27,0.3156
28,0.2957
29,0.3066
30,0.294
31,0.3043
32,0.2967
33,0.3055
34,0.3113
35,0.3169
36,0.314
37,0.3072
38,0.3077
39,0.3067
40,0.3038
41,0.3
42,0.31
43,0.3126
44,0.3131
45,0.3048
46,0.3075
47,0.3024
48,0.3074
49,0.3019
50,0.3095
