Round,Accuracy
0,0.0968
1,0.3331
2,0.3742
3,0.3909
4,0.3976
5,0.396
6,0.4006
7,0.4045
8,0.4062
9,0.4093
10,0.4103
11,0.411
12,0.4126
13,0.4132
14,0.4132
15,0.4126
16,0.4129
17,0.4134
18,0.413
19,0.416
20,0.4138
21,0.4157
22,0.4162
23,0.4163
24,0.4098
25,0.4159
26,0.4163
27,0.4176
28,0.4167
29,0.4178
30,0.4155
31,0.4132
32,0.4176
33,0.4163
34,0.4161
35,0.4171
36,0.4174
37,0.4132
38,0.4134
39,0.4165
40,0.4103
41,0.4125
42,0.4152
43,0.4129
44,0.4154
45,0.4173
46,0.4173
47,0.4157
48,0.4179
49,0.4155
50,0.409
