Round,Accuracy
0,0.0118
1,0.4847
2,0.4994
3,0.4985
4,0.5019
5,0.5054
6,0.5032
7,0.5032
8,0.5047
9,0.5041
10,0.5047
11,0.5037
12,0.5032
13,0.5062
14,0.5047
15,0.5041
16,0.506
17,0.5077
18,0.5052
19,0.5024
20,0.5022
21,0.5002
22,0.5019
23,0.5028
24,0.5075
25,0.506
26,0.5056
27,0.5095
28,0.5065
29,0.5086
30,0.5067
31,0.5052
32,0.5073
33,0.506
34,0.508
35,0.5073
36,0.5028
37,0.5108
38,0.5015
39,0.5062
40,0.506
41,0.5084
42,0.5086
43,0.5032
44,0.5058
45,0.5056
46,0.5065
47,0.5073
48,0.5054
49,0.5065
50,0.5071
