Round,Accuracy
0,0.1834
1,0.4858
2,0.5054
3,0.5142
4,0.5146
5,0.5135
6,0.5112
7,0.52
8,0.5325
9,0.5247
10,0.5284
11,0.5318
12,0.5269
13,0.5308
14,0.5331
15,0.5314
16,0.5297
17,0.528
18,0.5325
19,0.534
20,0.5262
21,0.5346
22,0.5333
23,0.532
24,0.5232
25,0.5308
26,0.5241
27,0.5335
28,0.5305
29,0.5344
30,0.5378
31,0.5348
32,0.5228
33,0.5329
34,0.5181
35,0.5359
36,0.5357
37,0.5277
38,0.5344
39,0.5273
40,0.5323
41,0.5275
42,0.5312
43,0.5355
44,0.5316
45,0.5329
46,0.5355
47,0.5351
48,0.5338
49,0.5247
50,0.5325
