Round,Accuracy
0,0.1
1,0.8326
2,0.8606
3,0.8677
4,0.8716
5,0.8754
6,0.877
7,0.8788
8,0.8771
9,0.8805
10,0.8761
11,0.88
12,0.8794
13,0.8814
14,0.8798
15,0.8799
16,0.8791
17,0.8825
18,0.8822
19,0.8803
20,0.8789
21,0.88
22,0.883
23,0.8825
24,0.8838
25,0.8814
26,0.8818
27,0.8816
28,0.8824
29,0.8814
30,0.8831
31,0.8836
32,0.8846
33,0.885
34,0.8832
35,0.882
36,0.8843
37,0.8853
38,0.8825
39,0.8836
40,0.8839
41,0.8845
42,0.886
43,0.8832
44,0.8825
45,0.8835
46,0.8835
47,0.8831
48,0.8826
49,0.8832
50,0.8842
