Round,Accuracy
0,0.1
1,0.2455
2,0.3347
3,0.4098
4,0.3482
5,0.2969
6,0.2664
7,0.2635
8,0.2489
9,0.242
10,0.2433
11,0.2367
12,0.2354
13,0.2258
14,0.2432
15,0.2538
16,0.2564
17,0.2531
18,0.2547
19,0.2505
20,0.2596
21,0.2514
22,0.2604
23,0.2563
24,0.2681
25,0.2629
26,0.2725
27,0.2741
28,0.2673
29,0.2779
30,0.2781
31,0.2764
32,0.2776
33,0.2743
34,0.2649
35,0.2694
36,0.2579
37,0.2732
38,0.2736
39,0.2681
40,0.2744
41,0.2589
42,0.2756
43,0.2657
44,0.2743
45,0.2639
46,0.2702
47,0.2518
48,0.257
49,0.2613
50,0.2549
