Round,Accuracy
0,0.1
1,0.5056
2,0.7526
3,0.7714
4,0.7882
5,0.7993
6,0.7993
7,0.8029
8,0.8043
9,0.809
10,0.8095
11,0.8099
12,0.8079
13,0.806
14,0.8144
15,0.8136
16,0.8066
17,0.8152
18,0.8162
19,0.8127
20,0.8221
21,0.8126
22,0.8143
23,0.815
24,0.8074
25,0.8087
26,0.8106
27,0.8075
28,0.8124
29,0.797
30,0.8079
31,0.8121
32,0.8067
33,0.8065
34,0.8111
35,0.8041
36,0.7985
37,0.805
38,0.8063
39,0.8034
40,0.8063
41,0.7997
42,0.8034
43,0.8024
44,0.8042
45,0.8043
46,0.8076
47,0.8014
48,0.8047
49,0.8024
50,0.7997
