Round,Accuracy
0,0.0906
1,0.965
2,0.976
3,0.9779
4,0.9798
5,0.9783
6,0.9793
7,0.9798
8,0.9798
9,0.9802
10,0.9804
11,0.9789
12,0.9806
13,0.9814
14,0.9809
15,0.9806
16,0.9811
17,0.9806
18,0.9819
19,0.9814
20,0.9806
21,0.9809
22,0.9795
23,0.982
24,0.9812
25,0.9816
26,0.9817
27,0.9815
28,0.9818
29,0.9818
30,0.9821
31,0.981
32,0.983
33,0.9827
34,0.9811
35,0.9816
36,0.9807
37,0.9818
38,0.9825
39,0.9824
40,0.9808
41,0.982
42,0.9821
43,0.9825
44,0.9823
45,0.9824
46,0.9831
47,0.982
48,0.9822
49,0.9821
50,0.9803
