Round,Accuracy
0,0.1914
1,0.1959
2,0.3592
3,0.6568
4,0.6887
5,0.6887
6,0.6922
7,0.7043
8,0.6994
9,0.6991
10,0.6992
11,0.6853
12,0.6962
13,0.7004
14,0.7107
15,0.7062
16,0.7067
17,0.708
18,0.7056
19,0.7101
20,0.7072
21,0.7032
22,0.7066
23,0.7101
24,0.6919
25,0.7037
26,0.7105
27,0.6986
28,0.6972
29,0.6946
30,0.7046
31,0.7113
32,0.717
33,0.7081
34,0.7038
35,0.702
36,0.7067
37,0.6981
38,0.7075
39,0.7119
40,0.7085
41,0.7051
42,0.6996
43,0.6948
44,0.7048
45,0.7008
46,0.7145
47,0.6976
48,0.6907
49,0.7018
50,0.7012
