Round,Accuracy
0,0.071
1,0.2185
2,0.2477
3,0.26
4,0.2629
5,0.2618
6,0.2646
7,0.2629
8,0.2599
9,0.2553
10,0.2606
11,0.262
12,0.2231
13,0.2637
14,0.2541
15,0.2545
16,0.2489
17,0.2613
18,0.2384
19,0.2377
20,0.2411
21,0.2341
22,0.2531
23,0.2487
24,0.2407
25,0.2241
26,0.254
27,0.2302
28,0.2571
29,0.2555
30,0.2463
31,0.2509
32,0.2254
33,0.242
34,0.225
35,0.2259
36,0.2348
37,0.242
38,0.2457
39,0.2561
40,0.2545
41,0.2475
42,0.2538
43,0.2607
44,0.2633
45,0.203
46,0.2408
47,0.2208
48,0.2404
49,0.2435
50,0.2459
