Round,Accuracy
0,0.1107
1,0.375
2,0.8442
3,0.8472
4,0.8505
5,0.8485
6,0.8502
7,0.8495
8,0.8453
9,0.8476
10,0.8461
11,0.8436
12,0.8436
13,0.84
14,0.8337
15,0.8349
16,0.8329
17,0.8319
18,0.8316
19,0.8314
20,0.8284
21,0.8271
22,0.8249
23,0.8215
24,0.8185
25,0.8208
26,0.818
27,0.816
28,0.8156
29,0.8142
30,0.8115
31,0.8103
32,0.8019
33,0.8027
34,0.8014
35,0.8026
36,0.8018
37,0.7994
38,0.7984
39,0.7945
40,0.7892
41,0.7913
42,0.7842
43,0.7863
44,0.785
45,0.7853
46,0.7883
47,0.7855
48,0.7831
49,0.7815
50,0.7767
